|||||||||||||
Nivel|Agrupador|Apl|MP|MS|ID_Gasto|Descripcion Gasto|Nombre de la cuenta y/o subcuenta Forseti|Nombre de la cuenta y/o subcuenta SAT|Cuenta Forseti|Nat|Acum|Enl|Var
2|154.01|1|G|G|VEHICULO:1:0:0:0:100|Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|1540010000000000000|D|0|X|X
1|155|1|G|G|X|X|Mobiliario y equipo de oficina|Mobiliario y equipo de oficina|1550000000000000000|D|1|X|X
2|155.01|1|G|G|EQ-OFICINA:1:0:0:0:100|Mobiliario y equipo de oficina|Mobiliario y equipo de oficina|Mobiliario y equipo de oficina|1550010000000000000|D|0|X|X
1|156|1|G|G|X|X|Equipo de cómputo|Equipo de cómputo|1560000000000000000|D|1|X|X
2|156.01|1|G|G|EQ-COMPUTO:1:0:0:0:100|Equipo de cómputo|Equipo de cómputo|Equipo de cómputo|1560010000000000000|D|0|X|X
1|157|1|G|G|X|X|Equipo de comunicación|Equipo de comunicación|1570000000000000000|D|1|X|X
2|157.01|1|G|G|EQ-COMINICACION:1:0:0:0:100|Equipo de comunicación|Equipo de comunicación|Equipo de comunicación|1570010000000000000|D|0|X|X
1|158|1|G|G|X|X|Activos biológicos, vegetales y semovientes|Activos biológicos, vegetales y semovientes|1580000000000000000|D|1|X|X
2|158.01|1|G|G|ACT-BIOLOGICO:1:0:0:0:100|Activos biológicos, vegetales y semovientes|Activos biológicos, vegetales y semovientes|Activos biológicos, vegetales y semovientes|1580010000000000000|D|0|X|X
1|159|1|G|G|X|X|Obras en proceso de activos fijos|Obras en proceso de activos fijos|1590000000000000000|D|1|X|X
2|159.01|1|G|G|X|X|Obras en proceso de activos fijos|Obras en proceso de activos fijos|1590010000000000000|D|0|X|X
1|160|1|G|G|X|X|Otros activos fijos|Otros activos fijos|1600000000000000000|D|1|X|X
2|160.01|1|G|G|X|X|Otros activos fijos|Otros activos fijos|1600010000000000000|D|0|X|X
1|161|0|G|G|X|X|Ferrocarriles|Ferrocarriles|1610000000000000000|D|1|X|X
2|161.01|0|G|G|X|X|Ferrocarriles|Ferrocarriles|1610010000000000000|D|0|X|X
1|162|0|G|G|X|X|Embarcaciones|Embarcaciones|1620000000000000000|D|1|X|X
2|162.01|0|G|G|X|X|Embarcaciones|Embarcaciones|1620010000000000000|D|0|X|X
1|163|0|G|G|X|X|Aviones|Aviones|1630000000000000000|D|1|X|X
2|163.01|0|G|G|X|X|Aviones|Aviones|1630010000000000000|D|0|X|X
1|164|1|G|G|X|X|Troqueles, moldes, matrices y herramental|Troqueles, moldes, matrices y herramental|1640000000000000000|D|1|X|X
2|164.01|1|G|G|HERRAMENTAL:1:0:0:0:100|Troqueles, moldes, matrices y herramental|Troqueles, moldes, matrices y herramental|Troqueles, moldes, matrices y herramental|1640010000000000000|D|0|X|X
1|165|1|G|G|X|X|Equipo de comunicaciones telefónicas|Equipo de comunicaciones telefónicas|1650000000000000000|D|1|X|X
2|165.01|1|G|G|EQ-TELEFONIA:1:0:0:0:100|Equipo de comunicaciones telefónicas|Equipo de comunicaciones telefónicas|Equipo de comunicaciones telefónicas|1650010000000000000|D|0|X|X
1|166|1|G|G|X|X|Equipo de comunicación satelital|Equipo de comunicación satelital|1660000000000000000|D|1|X|X
2|166.01|1|G|G|EQ-SATELITAL:1:0:0:0:100|Equipo de comunicación satelital|Equipo de comunicación satelital|Equipo de comunicación satelital|1660010000000000000|D|0|X|X
1|167|1|G|G|X|X|Equipo de adaptaciones para personas con capacidades diferentes|Equipo de adaptaciones para personas con capacidades diferentes|1670000000000000000|D|1|X|X
2|167.01|1|G|G|EQ-DISCAPACITADOS:1:0:0:0:100|Equipo de adaptaciones para personas con capacidades diferentes|Equipo de adaptaciones para personas con capacidades diferentes|Equipo de adaptaciones para personas con capacidades diferentes|1670010000000000000|D|0|X|X
1|168|0|G|G|X|X|Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|1680000000000000000|D|1|X|X
2|168.01|0|G|G|X|X|Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|1680010000000000000|D|0|X|X
1|169|1|G|G|X|X|Otra maquinaria y equipo|Otra maquinaria y equipo|1690000000000000000|D|1|X|X
2|169.01|1|G|G|EQ-OTRO:1:0:0:0:100|Otra maquinaria y equipo|Otra maquinaria y equipo|Otra maquinaria y equipo|1690010000000000000|D|0|X|X
1|170|1|G|G|X|X|Adaptaciones y mejoras|Adaptaciones y mejoras|1700000000000000000|D|1|X|X
2|170.01|1|G|G|MEJORA:1:0:0:0:100|Adaptaciones y mejoras|Adaptaciones y mejoras|Adaptaciones y mejoras|1700010000000000000|D|0|X|X
1|171|1|G|G|X|X|Depreciación acumulada de activos fijos|Depreciación acumulada de activos fijos|1710000000000000000|A|1|X|X
2|171.01|1|G|G|X|X|Depreciación acumulada de edificios|Depreciación acumulada de edificios|1710010000000000000|A|0|X|X
2|171.02|1|G|G|X|X|Depreciación acumulada de maquinaria y equipo|Depreciación acumulada de maquinaria y equipo|1710020000000000000|A|0|X|X
2|171.03|1|G|G|X|X|Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|1710030000000000000|A|0|X|X
2|171.04|1|G|G|X|X|Depreciación acumulada de mobiliario y equipo de oficina|Depreciación acumulada de mobiliario y equipo de oficina|1710040000000000000|A|0|X|X
2|171.05|1|G|G|X|X|Depreciación acumulada de equipo de cómputo|Depreciación acumulada de equipo de cómputo|1710050000000000000|A|0|X|X
2|171.06|1|G|G|X|X|Depreciación acumulada de equipo de comunicación|Depreciación acumulada de equipo de comunicación|1710060000000000000|A|0|X|X
2|171.07|1|G|G|X|X|Depreciación acumulada de activos biológicos, vegetales y semovientes|Depreciación acumulada de activos biológicos, vegetales y semovientes|1710070000000000000|A|0|X|X
2|171.08|1|G|G|X|X|Depreciación acumulada de otros activos fijos|Depreciación acumulada de otros activos fijos|1710080000000000000|A|0|X|X
2|171.09|0|G|G|X|X|Depreciación acumulada de ferrocarriles|Depreciación acumulada de ferrocarriles|1710090000000000000|A|0|X|X
2|171.1|0|G|G|X|X|Depreciación acumulada de embarcaciones|Depreciación acumulada de embarcaciones|1710100000000000000|A|0|X|X
2|171.11|0|G|G|X|X|Depreciación acumulada de aviones|Depreciación acumulada de aviones|1710110000000000000|A|0|X|X
2|171.12|1|G|G|X|X|Depreciación acumulada de troqueles, moldes, matrices y herramental|Depreciación acumulada de troqueles, moldes, matrices y herramental|1710120000000000000|A|0|X|X
2|171.13|1|G|G|X|X|Depreciación acumulada de equipo de comunicaciones telefónicas|Depreciación acumulada de equipo de comunicaciones telefónicas|1710130000000000000|A|0|X|X
2|171.14|1|G|G|X|X|Depreciación acumulada de equipo de comunicación satelital|Depreciación acumulada de equipo de comunicación satelital|1710140000000000000|A|0|X|X
2|171.15|1|G|G|X|X|Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes|Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes|1710150000000000000|A|0|X|X
2|171.16|0|G|G|X|X|Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|1710160000000000000|A|0|X|X
2|171.17|1|G|G|X|X|Depreciación acumulada de adaptaciones y mejoras|Depreciación acumulada de adaptaciones y mejoras|1710170000000000000|A|0|X|X
2|171.18|1|G|G|X|X|Depreciación acumulada de otra maquinaria y equipo|Depreciación acumulada de otra maquinaria y equipo|1710180000000000000|A|0|X|X
1|172|0|G|G|X|X|Pérdida por deterioro acumulado de activos fijos|Pérdida por deterioro acumulado de activos fijos|1720000000000000000|D|1|X|X
2|172.01|0|G|G|X|X|Pérdida por deterioro acumulado de edificios|Pérdida por deterioro acumulado de edificios|1720010000000000000|D|0|X|X
2|172.02|0|G|G|X|X|Pérdida por deterioro acumulado de maquinaria y equipo|Pérdida por deterioro acumulado de maquinaria y equipo|1720020000000000000|D|0|X|X
2|172.03|0|G|G|X|X|Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|1720030000000000000|D|0|X|X
2|172.04|0|G|G|X|X|Pérdida por deterioro acumulado de mobiliario y equipo de oficina|Pérdida por deterioro acumulado de mobiliario y equipo de oficina|1720040000000000000|D|0|X|X
2|172.05|0|G|G|X|X|Pérdida por deterioro acumulado de equipo de cómputo|Pérdida por deterioro acumulado de equipo de cómputo|1720050000000000000|D|0|X|X
2|172.06|0|G|G|X|X|Pérdida por deterioro acumulado de equipo de comunicación|Pérdida por deterioro acumulado de equipo de comunicación|1720060000000000000|D|0|X|X
2|172.07|0|G|G|X|X|Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes|Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes|1720070000000000000|D|0|X|X
2|172.08|0|G|G|X|X|Pérdida por deterioro acumulado de otros activos fijos|Pérdida por deterioro acumulado de otros activos fijos|1720080000000000000|D|0|X|X
2|172.09|0|G|G|X|X|Pérdida por deterioro acumulado de ferrocarriles|Pérdida por deterioro acumulado de ferrocarriles|1720090000000000000|D|0|X|X
2|172.1|0|G|G|X|X|Pérdida por deterioro acumulado de embarcaciones|Pérdida por deterioro acumulado de embarcaciones|1720100000000000000|D|0|X|X
2|172.11|0|G|G|X|X|Pérdida por deterioro acumulado de aviones|Pérdida por deterioro acumulado de aviones|1720110000000000000|D|0|X|X
2|172.12|0|G|G|X|X|Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental|Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental|1720120000000000000|D|0|X|X
2|172.13|0|G|G|X|X|Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas|Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas|1720130000000000000|D|0|X|X
2|172.14|0|G|G|X|X|Pérdida por deterioro acumulado de equipo de comunicación satelital|Pérdida por deterioro acumulado de equipo de comunicación satelital|1720140000000000000|D|0|X|X
2|172.15|0|G|G|X|X|Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidades diferentes|Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidades diferentes|1720150000000000000|D|0|X|X
2|172.16|0|G|G|X|X|Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente|1720160000000000000|D|0|X|X
2|172.17|0|G|G|X|X|Pérdida por deterioro acumulado de adaptaciones y mejoras|Pérdida por deterioro acumulado de adaptaciones y mejoras|1720170000000000000|D|0|X|X
2|172.18|0|G|G|X|X|Pérdida por deterioro acumulado de otra maquinaria y equipo|Pérdida por deterioro acumulado de otra maquinaria y equipo|1720180000000000000|D|0|X|X
1|173|1|G|G|X|X|Gastos diferidos|Gastos diferidos|1730000000000000000|D|1|X|X
2|173.01|1|G|G|G-DIFERIDO:1:0:0:0:100|Gastos diferidos|Gastos diferidos|Gastos diferidos|1730010000000000000|D|0|X|X
1|174|1|G|G|X|X|Gastos pre operativos|Gastos pre operativos|1740000000000000000|D|1|X|X
2|174.01|1|G|G|G-PREOPERATIVO:1:0:0:0:100|Gastos pre operativos|Gastos pre operativos|Gastos pre operativos|1740010000000000000|D|0|X|X
1|175|1|G|G|X|X|Regalías, asistencia técnica y otros gastos diferidos|Regalías, asistencia técnica y otros gastos diferidos|1750000000000000000|D|1|X|X
2|175.01|1|G|G|G-REGALIA:1:0:0:0:100|Regalías, asistencia técnica y otros gastos diferidos|Regalías, asistencia técnica y otros gastos diferidos|Regalías, asistencia técnica y otros gastos diferidos|1750010000000000000|D|0|X|X
1|176|1|G|G|X|X|Activos intangibles|Activos intangibles|1760000000000000000|D|1|X|X
2|176.01|1|G|G|ACT-INTANGIBLE:1:0:0:0:100|Activos intangibles|Activos intangibles|Activos intangibles|1760010000000000000|D|0|X|X
1|177|1|G|G|X|X|Gastos de organización|Gastos de organización|1770000000000000000|D|1|X|X
2|177.01|1|G|G|G-ORGANIZACION:1:0:0:0:100|Gastos de organización|Gastos de organización|Gastos de organización|1770010000000000000|D|0|X|X
1|178|1|G|G|X|X|Investigación y desarrollo de mercado|Investigación y desarrollo de mercado|1780000000000000000|D|1|X|X
2|178.01|1|G|G|ACT-MERCADOTECNIA:1:0:0:0:100|Investigación y desarrollo de mercado|Investigación y desarrollo de mercado|Investigación y desarrollo de mercado|1780010000000000000|D|0|X|X
1|179|1|G|G|X|X|Marcas y patentes|Marcas y patentes|1790000000000000000|D|1|X|X
